feature,coefficient,abs_coefficient
emp.var.rate,-2.2034915850730883,2.2034915850730883
cons.price.idx,0.9915352577084956,0.9915352577084956
euribor3m,0.7009029290242561,0.7009029290242561
contact_telephone,-0.30007898157539215,0.30007898157539215
was_previously_contacted,0.26745719447816557,0.26745719447816557
month_aug,0.23431587331479456,0.23431587331479456
month_may,-0.19543828633693086,0.19543828633693086
month_jun,-0.17893078420913433,0.17893078420913433
default_yes,-0.16472377239257516,0.16472377239257516
month_mar,0.16367877661668956,0.16367877661668956
nr.employed,0.12656219335095184,0.12656219335095184
month_nov,-0.12068854640756631,0.12068854640756631
campaign,-0.11826646650279103,0.11826646650279103
poutcome_nonexistent,0.1059433377714265,0.1059433377714265
poutcome_success,0.08850358408721556,0.08850358408721556
job_retired,0.08225716833256104,0.08225716833256104
month_jul,0.08133448038761872,0.08133448038761872
previous,-0.08129766081107731,0.08129766081107731
default_unknown,-0.07315167905344451,0.07315167905344451
day_of_week_mon,-0.07132217605271356,0.07132217605271356
cons.conf.idx,0.06716306893014842,0.06716306893014842
education_university.degree,0.06397489570762559,0.06397489570762559
education_basic.6y,0.0550269318461803,0.0550269318461803
marital_single,0.05323743818232356,0.05323743818232356
month_dec,0.04183870845544384,0.04183870845544384
day_of_week_wed,0.03391050352933855,0.03391050352933855
day_of_week_tue,-0.03364244093287821,0.03364244093287821
housing_yes,-0.033056646393181434,0.033056646393181434
education_high.school,0.029545296302240044,0.029545296302240044
job_services,-0.028283361413101723,0.028283361413101723
education_unknown,0.027860484628072175,0.027860484628072175
month_sep,0.024725625442677184,0.024725625442677184
loan_yes,0.024651388421126703,0.024651388421126703
day_of_week_thu,-0.02378682015854026,0.02378682015854026
marital_unknown,0.02359125771475604,0.02359125771475604
education_illiterate,0.02289265339344936,0.02289265339344936
job_blue-collar,-0.021947074232599496,0.021947074232599496
month_oct,0.019396430523987852,0.019396430523987852
job_student,0.01692675368711702,0.01692675368711702
job_entrepreneur,0.014556324523985899,0.014556324523985899
marital_married,0.01246558245551416,0.01246558245551416
job_unknown,0.010687984075251056,0.010687984075251056
age,-0.010614353826249841,0.010614353826249841
job_housemaid,-0.009999470214805708,0.009999470214805708
education_professional.course,-0.009357512274062915,0.009357512274062915
job_self-employed,-0.00720574217749179,0.00720574217749179
job_unemployed,-0.004385401901324194,0.004385401901324194
job_management,0.0039886698763729085,0.0039886698763729085
housing_unknown,-0.0035265682560284115,0.0035265682560284115
loan_unknown,-0.0035265682560180096,0.0035265682560180096
job_technician,0.0008112930865310779,0.0008112930865310779
education_basic.9y,0.00038202065861744905,0.00038202065861744905
